event,op,regret,acc,eps_spent,capacity_remaining
218,insert,136418077237782.95,231418.87228967372,0.0,1.0
219,insert,136420580764754.34,70760.53944659277,0.0,1.0
220,insert,136422651654965.38,64356.665715935684,0.0,1.0
221,insert,136422654952892.0,2568.2393266163162,0.0,1.0
222,insert,136422719139732.83,11330.2110157782,0.0,1.0
223,insert,136426759058866.42,89887.92058549525,0.0,1.0
224,insert,136433337320313.19,114701.88705309248,0.0,1.0
225,insert,136446176135220.33,160242.40953715984,0.0,1.0
226,insert,136473122164533.92,232146.63173775823,0.0,1.0
227,insert,136498077215304.73,223405.6882481476,0.0,1.0
228,insert,136498971333588.38,42287.54624348451,0.0,1.0
229,insert,136525263062858.38,229310.83389145156,0.0,1.0
230,insert,136537597534186.31,157063.4988018198,0.0,1.0
231,insert,136549918521037.02,156977.62165796486,0.0,1.0
232,insert,136591345337407.66,287843.069642592,0.0,1.0
233,insert,136643891765059.44,324180.2821017196,0.0,1.0
234,insert,136658553490554.77,171240.91506023984,0.0,1.0
235,insert,136662716618988.38,91248.32528446004,0.0,1.0
236,insert,136665931356692.22,80184.00967587258,0.0,1.0
237,insert,136669289792043.36,81956.51714349166,0.0,1.0
238,insert,136669319382818.42,7692.9545771847625,0.0,1.0
239,insert,136671759207025.6,69854.48027401879,0.0,1.0
240,insert,136711298619485.5,281209.5747299656,0.0,1.0
241,insert,136730349611296.45,195197.29409472964,0.0,1.0
242,insert,136734911262547.31,95515.98034739424,0.0,1.0
243,insert,136740185690327.03,102707.62172030343,0.0,1.0
244,insert,136743419608106.86,80422.85470972909,0.0,1.0
245,insert,136746399912447.64,77204.97834704806,0.0,1.0
246,insert,136778476778330.92,253285.86965432958,0.0,1.0
247,insert,136792984426727.48,170338.77066925794,0.0,1.0
248,insert,136796844980288.3,87869.83055415767,0.0,1.0
249,insert,136798256430172.0,53130.9680638101,0.0,1.0
250,insert,136806597326707.73,129158.01590091187,0.0,1.0
251,insert,136817735218995.97,149250.74397292675,0.0,1.0
252,insert,136818127034861.8,27993.423006854835,0.0,1.0
253,insert,136818312504975.78,19259.808617140516,0.0,1.0
254,insert,136818992398877.86,36875.30073300748,0.0,1.0
255,insert,136820459263776.39,54163.916005479856,0.0,1.0
256,insert,136829098957135.86,131451.0810870006,0.0,1.0
257,insert,136833872360022.66,97707.75697767257,0.0,1.0
258,insert,136859787726746.19,227663.6410300844,0.0,1.0
259,insert,136859887278898.19,14110.432452983572,0.0,1.0
260,insert,136859894726720.53,3859.4876213543466,0.0,1.0
