step,regret
38000,[5.54695688e+09]
38100,[5.54695689e+09]
38200,[5.54695691e+09]
38300,[5.54695692e+09]
38400,[5.54695693e+09]
38500,[5.54695694e+09]
38600,[5.54695695e+09]
38700,[5.54695696e+09]
38800,[5.54695697e+09]
38900,[5.54695698e+09]
39000,[5.54695699e+09]
39100,[5.546957e+09]
39200,[5.54695701e+09]
39300,[5.54695702e+09]
39400,[5.54695703e+09]
39500,[5.54695705e+09]
39600,[5.54695706e+09]
39700,[5.54695707e+09]
39800,[5.54695709e+09]
39900,[5.5469571e+09]
40000,[5.54695711e+09]
40100,[5.54695712e+09]
40200,[5.54695714e+09]
40300,[5.54695715e+09]
40400,[5.54695717e+09]
40500,[5.54695718e+09]
40600,[5.54695719e+09]
40700,[5.54695721e+09]
40800,[5.54695722e+09]
40900,[5.54695723e+09]
41000,[5.54695725e+09]
41100,[5.54695726e+09]
41200,[5.54695727e+09]
41300,[5.54695728e+09]
41400,[5.54695728e+09]
41500,[5.54695729e+09]
41600,[5.5469573e+09]
41700,[5.54695731e+09]
41800,[5.54695732e+09]
41900,[5.54695732e+09]
42000,[5.54695733e+09]
42100,[5.54695735e+09]
42200,[5.54695736e+09]
42300,[5.54695737e+09]
42400,[5.54695739e+09]
42500,[5.5469574e+09]
42600,[5.54695741e+09]
42700,[5.54695741e+09]
42800,[5.54695742e+09]
42900,[5.54695743e+09]
43000,[5.54695744e+09]
43100,[5.54695745e+09]
43200,[5.54695746e+09]
43300,[5.54695747e+09]
43400,[5.54695748e+09]
43500,[5.54695749e+09]
43600,[5.5469575e+09]
43700,[5.54695752e+09]
43800,[5.54695753e+09]
43900,[5.54695754e+09]
44000,[5.54695755e+09]
44100,[5.54695756e+09]
44200,[5.54695757e+09]
44300,[5.54695758e+09]
44400,[5.5469576e+09]
44500,[5.54695761e+09]
44600,[5.54695761e+09]
44700,[5.54695762e+09]
44800,[5.54695764e+09]
44900,[5.54695765e+09]
45000,[5.54695766e+09]
45100,[5.54695768e+09]
45200,[5.54695769e+09]
45300,[5.5469577e+09]
45400,[5.5469577e+09]
45500,[5.54695771e+09]
45600,[5.54695772e+09]
45700,[5.54695773e+09]
45800,[5.54695774e+09]
45900,[5.54695776e+09]
46000,[5.54695777e+09]
46100,[5.54695778e+09]
46200,[5.54695779e+09]
46300,[5.54695781e+09]
46400,[5.54695782e+09]
46500,[5.54695783e+09]
46600,[5.54695785e+09]
46700,[5.54695786e+09]
46800,[5.54695787e+09]
46900,[5.54695789e+09]
47000,[5.5469579e+09]
47100,[5.54695791e+09]
47200,[5.54695793e+09]
47300,[5.54695794e+09]
47400,[5.54695795e+09]
47500,[5.54695796e+09]
47600,[5.54695797e+09]
47700,[5.54695798e+09]
47800,[5.54695799e+09]
47900,[5.546958e+09]
48000,[5.54695801e+09]
48100,[5.54695803e+09]
48200,[5.54695805e+09]
48300,[5.54695806e+09]
48400,[5.54695807e+09]
48500,[5.54695808e+09]
48600,[5.54695809e+09]
48700,[5.5469581e+09]
48800,[5.54695811e+09]
48900,[5.54695812e+09]
49000,[5.54695814e+09]
49100,[5.54695815e+09]
49200,[5.54695816e+09]
49300,[5.54695817e+09]
49400,[5.54695818e+09]
49500,[5.54695819e+09]
49600,[5.54695821e+09]
49700,[5.54695823e+09]
49800,[5.54695824e+09]
49900,[5.54695824e+09]
50000,[5.54695826e+09]
