step,regret
32300,[7.45168725e+14]
32400,[7.45168899e+14]
32500,[7.45169064e+14]
32600,[7.4516926e+14]
32700,[7.45169449e+14]
32800,[7.45169643e+14]
32900,[7.45169783e+14]
33000,[7.4516991e+14]
33100,[7.45170072e+14]
33200,[7.45170249e+14]
33300,[7.45170365e+14]
33400,[7.45170506e+14]
33500,[7.45170681e+14]
33600,[7.45170816e+14]
33700,[7.45170939e+14]
33800,[7.45171059e+14]
33900,[7.45171182e+14]
34000,[7.45171324e+14]
34100,[7.45171458e+14]
34200,[7.45171578e+14]
34300,[7.45171662e+14]
34400,[7.45171777e+14]
34500,[7.45171924e+14]
34600,[7.45172039e+14]
34700,[7.45172145e+14]
34800,[7.45172261e+14]
34900,[7.45172383e+14]
35000,[7.45172478e+14]
35100,[7.45172572e+14]
35200,[7.4517266e+14]
35300,[7.45172775e+14]
35400,[7.45172869e+14]
35500,[7.45172971e+14]
35600,[7.45173067e+14]
35700,[7.45173125e+14]
35800,[7.45173192e+14]
35900,[7.45173273e+14]
36000,[7.45173358e+14]
36100,[7.45173439e+14]
36200,[7.45173547e+14]
36300,[7.45173621e+14]
36400,[7.45173704e+14]
36500,[7.45173769e+14]
36600,[7.45173832e+14]
36700,[7.45173893e+14]
36800,[7.45173949e+14]
36900,[7.4517402e+14]
37000,[7.45174071e+14]
37100,[7.45174137e+14]
37200,[7.45174187e+14]
37300,[7.4517425e+14]
37400,[7.45174295e+14]
37500,[7.45174339e+14]
37600,[7.45174395e+14]
37700,[7.45174431e+14]
37800,[7.45174487e+14]
37900,[7.45174521e+14]
38000,[7.45174583e+14]
38100,[7.45174638e+14]
38200,[7.4517468e+14]
38300,[7.45174707e+14]
38400,[7.45174747e+14]
38500,[7.45174792e+14]
38600,[7.45174838e+14]
38700,[7.45174879e+14]
38800,[7.45174912e+14]
38900,[7.4517495e+14]
39000,[7.45174984e+14]
39100,[7.45175019e+14]
39200,[7.45175047e+14]
39300,[7.45175076e+14]
39400,[7.45175108e+14]
39500,[7.45175136e+14]
39600,[7.45175172e+14]
39700,[7.45175202e+14]
39800,[7.45175233e+14]
39900,[7.4517526e+14]
40000,[7.45175293e+14]
40100,[7.45175318e+14]
40200,[7.45175345e+14]
40300,[7.45175373e+14]
40400,[7.45175401e+14]
40500,[7.45175423e+14]
40600,[7.45175442e+14]
40700,[7.45175464e+14]
40800,[7.45175491e+14]
40900,[7.45175511e+14]
41000,[7.45175533e+14]
41100,[7.45175552e+14]
41200,[7.45175567e+14]
41300,[7.45175589e+14]
41400,[7.45175611e+14]
41500,[7.45175624e+14]
